TCGA-BH-A18H,TCGA-E2-A14P,TCGA-AN-A04A,TCGA-5L-AAT1,TCGA-GI-A2C8,TCGA-AQ-A0Y5,TCGA-A8-A07I,TCGA-E9-A1R4,TCGA-AC-A8OP,TCGA-AR-A24Q,TCGA-D8-A1XU,TCGA-AO-A03N
75.6985,72.8588,73.3767,95.2108,38.2228,80.2907,45.646,152.139,91.4804,77.9316,55.6131,32.9262
29.6405,21.2581,17.4053,22.0865,1.9698,17.9532,25.5258,55.3563,32.4377,14.5993,22.5817,17.5475
8.1998,5.3872,7.2161,11.5016,1.4402,7.5972,8.276,26.9389,13.8524,6.8548,6.9492,4.0673
54.0597,54.3803,44.6819,80.5577,19.2176,58.3926,88.4863,77.4291,36.977,81.3501,30.4549,36.4004
16.489,7.3847,1.8027,10.6258,15.2487,0.2437,1.2453,2.7947,15.2095,2.6088,1.373,0.9107
15.3887,30.4729,16.0379,22.3877,16.9116,20.6641,40.8958,28.7669,17.267,37.9926,19.4739,1.825
2.922,0.8513,1.355,1.3105,1.5471,2.2564,1.1387,0.7623,1.5043,0.8903,1.0864,1.0317
43.8888,47.1941,141.8659,82.8429,61.7829,194.7003,99.7745,76.8494,89.1081,74.6234,50.4919,32.4465
0.9381,0.6018,0.7881,2.8799,0.1094,3.6861,0.5775,0.5154,1.0873,0.9631,1.2876,2.0492
2.8854,10.2081,5.0729,1.1345,0.0382,2.8868,13.1142,7.9592,2.6781,8.0198,1.3527,2.1991
242.6814,366.5882,236.4118,298.5576,114.6652,286.218,192.9828,159.8161,155.8404,177.5806,158.1153,159.6406
0.6584,0.4634,1.9596,0.7923,3.5771,0.6818,0.6993,1.2094,0.3823,1.8169,1.3045,0.6237
23.8043,34.7274,50.8351,19.6911,8.4485,27.6288,42.1765,29.3191,26.9414,26.9529,15.5235,9.0619
3.3954,2.3673,4.6461,2.742,0.8887,9.7892,8.5282,2.2126,4.9803,5.7592,5.9743,2.2536
0.3476,0.2399,0.271,0.127,0.0313,3.171,0.2451,0.3063,0.2412,0.4387,0.1261,0.2998
0.4123,0.2094,0.1084,1.2187,0.2052,0.2442,0.3369,0.7017,0.5788,0.2964,0.3054,0.2035
40.6632,36.9348,21.859,43.7936,4.3015,29.278,38.0379,50.8823,37.92,32.4214,27.614,5.9518
34.1909,1.3729,1.4164,152.919,0.0056,2.703,1.0869,133.1695,2.3911,0.3444,0.8866,21.3402
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2168,0.1516,0.0781,0.2196,0.0209,0.1638,0.225,0.3406,0.4707,0.2373,0.1208,0.2615
12.2231,8.7751,24.0258,22.115,11.6512,34.5874,37.2939,19.8599,30.1157,30.7847,20.8809,14.1774
2.0386,0.7199,0.9734,1.6856,1.8415,2.9209,2.5012,1.7192,6.6024,3.7839,3.362,0.824
124.402,236.6864,120.4461,161.6872,112.4192,244.6306,82.1399,104.0618,257.2015,232.7488,137.0379,117.607
141.8694,972.5243,178.8202,113.1539,3.6048,111.3438,211.5981,146.7806,670.4294,100.5087,87.7462,61.278
25.7671,17.4706,35.3992,17.7606,31.6937,61.6887,72.2833,40.2316,48.5035,78.4894,21.1753,5.1085
1.1066,17.1406,2.2213,0.9965,0.0552,10.8603,11.1919,2.345,14.3034,0.9216,1.858,0.0961
4.8058,3.5244,2.8797,9.4047,4.0754,6.3252,3.7706,4.7206,6.4514,4.7497,6.6143,1.6416
4.7347,10.6206,7.1511,12.8274,0.1061,19.76,3.4089,5.8974,14.3424,11.499,7.1344,2.4031
25.6434,21.147,10.0113,26.9208,3.2566,12.4434,10.2829,11.9809,13.3307,13.9431,11.9016,21.6319
11.008,18.2168,15.1366,31.7554,5.3969,13.3608,8.3614,21.3946,28.4693,8.0227,11.2886,4.7618
30.1083,214.9495,13.1844,75.6899,1.3132,241.1364,129.4298,33.4104,96.3155,70.2187,162.3522,16.6736
26.6223,26.0881,13.7574,18.7607,6.3847,21.822,28.3032,17.8928,19.2492,19.3449,20.6031,12.814
0.1021,0.0,0.0,0.0,0.2456,0.0,0.0,0.3086,0.8819,0.2661,0.2965,0.0
35.0624,65.2117,20.9529,34.7114,197.7342,35.6839,78.3501,74.5737,161.3831,178.2465,85.1446,24.2941
43.5375,27.5175,20.977,22.3698,25.3538,43.7392,71.2975,41.4937,108.9044,68.343,122.5595,5.365
